WKT,CELLCODE,EOFORIGIN,NOFORIGIN
"POLYGON ((27.261686623465835 34.95324700956732,27.476126200844622 35.838079392187169,28.551441663366457 35.626673417481719,28.325138151023015 34.744797027633489,27.261686623465835 34.95324700956732))",100kmE59N15,5900000,1500000
"POLYGON ((27.476126200844622 35.838079392187169,27.698363689106884 36.720961082268296,28.785923246083538 36.506490376947212,28.551441663366457 35.626673417481719,27.476126200844622 35.838079392187169))",100kmE59N16,5900000,1600000
"POLYGON ((27.698363689106884 36.720961082268296,27.928765973795201 37.601905694985035,29.028963277033093 37.384256519078178,28.785923246083538 36.506490376947212,27.698363689106884 36.720961082268296))",100kmE59N17,5900000,1700000
"POLYGON ((27.89565972409757 32.974813656490817,28.106655844265219 33.860848984807525,29.153734969192005 33.643174049340956,28.931853537365864 32.760029429823405,27.89565972409757 32.974813656490817))",100kmE60N13,6000000,1300000
"POLYGON ((28.106655844265219 33.860848984807525,28.325138151023015 34.744797027633489,29.383441905926759 34.524127692745125,29.153734969192005 33.643174049340956,28.106655844265219 33.860848984807525))",100kmE60N14,6000000,1400000
"POLYGON ((28.325138151023015 34.744797027633489,28.551441663366457 35.626673417481719,29.621320514140741 35.402901450514378,29.383441905926759 34.524127692745125,28.325138151023015 34.744797027633489))",100kmE60N15,6000000,1500000
"POLYGON ((28.551441663366457 35.626673417481719,28.785923246083538 36.506490376947212,29.867739251599982 36.279502729147787,29.621320514140741 35.402901450514378,28.551441663366457 35.626673417481719))",100kmE60N16,6000000,1600000
"POLYGON ((28.931853537365864 32.760029429823405,29.153734969192005 33.643174049340956,30.195734092185088 33.413511517650981,29.963232997536583 32.533391067370708,28.931853537365864 32.760029429823405))",100kmE61N13,6100000,1300000
"POLYGON ((29.153734969192005 33.643174049340956,29.383441905926759 34.524127692745125,30.436384135239987 34.291333503587687,30.195734092185088 33.413511517650981,29.153734969192005 33.643174049340956))",100kmE61N14,6100000,1400000
"POLYGON ((29.383441905926759 34.524127692745125,29.621320514140741 35.402901450514378,30.68553921534869 35.166863490204051,30.436384135239987 34.291333503587687,29.383441905926759 34.524127692745125))",100kmE61N15,6100000,1500000
"POLYGON ((29.621320514140741 35.402901450514378,29.867739251599982 36.279502729147787,30.943578049577912 36.040103985744082,30.68553921534869 35.166863490204051,29.621320514140741 35.402901450514378))",100kmE61N16,6100000,1600000
"POLYGON ((17.317389249657257 34.453884619544596,17.407340137930994 35.360502473346955,18.492039056524575 35.266974277359829,18.389183604489986 34.361675129391578,17.317389249657257 34.453884619544596))",100kmE50N13,5000000,1300000
"POLYGON ((17.407340137930994 35.360502473346955,17.500621024087764 36.265798538810841,18.598691900554829 36.170901142048365,18.492039056524575 35.266974277359829,17.407340137930994 35.360502473346955))",100kmE50N14,5000000,1400000
"POLYGON ((17.500621024087764 36.265798538810841,17.597393310155969 37.169824351597377,18.709325279331278 37.073504764677494,18.598691900554829 36.170901142048365,17.500621024087764 36.265798538810841))",100kmE50N15,5000000,1500000
"POLYGON ((17.597393310155969 37.169824351597377,17.697829872590802 38.072630398657601,18.824135285665278 37.974832963367398,18.709325279331278 37.073504764677494,17.597393310155969 37.169824351597377))",100kmE50N16,5000000,1600000
"POLYGON ((17.697829872590802 38.072630398657601,17.802116055002102 38.97426610460424,18.943332074434675 38.874932304561902,18.824135285665278 37.974832963367398,17.697829872590802 38.072630398657601))",100kmE50N17,5000000,1700000
